"","Name","description","timestamp","begin","end","altitudeMode","tessellate","extrude","visibility","drawOrder","icon","ADDRESSBLOCKHOUSENUMBER","LATITUDE","EST_ORIGINAL_COMPLETION_DATE","STATUS","CLEANINGSTARTDATE","ADDRESSUNITNUMBER","ADDRESSFLOORNUMBER","NO_OF_FOOD_STALLS","HYPERLINK","REGION","APPROXIMATE_GFA","LONGITUDE","INFO_ON_CO_LOCATORS","NO_OF_MARKET_STALLS","AWARDED_DATE","LANDYADDRESSPOINT","CLEANINGENDDATE","PHOTOURL","ADDRESSTYPE","RNR_STATUS","ADDRESSBUILDINGNAME","HUP_COMPLETION_DATE","LANDXADDRESSPOINT","ADDRESSSTREETNAME","ADDRESSPOSTALCODE","DESCRIPTION_MYENV","IMPLEMENTATION_DATE","ADDRESS_MYENV","INC_CRC","FMEL_UPD_D","snippet","X","index","lon","lat","popular_times","time_spent","current_popularity","filled","peak","sun0","sun1","sun2","sun3","sun4","sun5","sun6","sun7","sun8","sun9","sun10","sun11","sun12","sun13","sun14","sun15","sun16","sun17","sun18","sun19","sun20","sun21","sun22","sun23","mon0","mon1","mon2","mon3","mon4","mon5","mon6","mon7","mon8","mon9","mon10","mon11","mon12","mon13","mon14","mon15","mon16","mon17","mon18","mon19","mon20","mon21","mon22","mon23","tue0","tue1","tue2","tue3","tue4","tue5","tue6","tue7","tue8","tue9","tue10","tue11","tue12","tue13","tue14","tue15","tue16","tue17","tue18","tue19","tue20","tue21","tue22","tue23","wed0","wed1","wed2","wed3","wed4","wed5","wed6","wed7","wed8","wed9","wed10","wed11","wed12","wed13","wed14","wed15","wed16","wed17","wed18","wed19","wed20","wed21","wed22","wed23","thu0","thu1","thu2","thu3","thu4","thu5","thu6","thu7","thu8","thu9","thu10","thu11","thu12","thu13","thu14","thu15","thu16","thu17","thu18","thu19","thu20","thu21","thu22","thu23","fri0","fri1","fri2","fri3","fri4","fri5","fri6","fri7","fri8","fri9","fri10","fri11","fri12","fri13","fri14","fri15","fri16","fri17","fri18","fri19","fri20","fri21","fri22","fri23","sat0","sat1","sat2","sat3","sat4","sat5","sat6","sat7","sat8","sat9","sat10","sat11","sat12","sat13","sat14","sat15","sat16","sat17","sat18","sat19","sat20","sat21","sat22","sat23"
"22","Berseh Food Centre","HUP Standard Upgrading","","","","",-1,0,-1,0,"","166","","1975","Existing","","","","","","","2568.95","","","","","32184.16","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176120532.jpg","I","","","5/3/2004","30619.27","Jalan Besar","208877","","","166, Jalan Besar, Singapore 208877","A7CCEB2CA6AC0B4B","20210330151704","",37,37,1.3073538990418,103.854555350918,0,"People typically spend 20 min to 1 hr here",47,0,12,8,2,1,1,1,2,9,18,29,41,56,71,77,72,62,56,58,63,66,62,54,41,28,17,5,0,1,1,1,1,9,19,28,33,40,59,79,73,50,37,37,40,40,38,32,25,17,10,6,1,1,1,1,0,9,23,34,37,42,70,100,87,54,42,46,52,54,51,43,33,23,13,7,1,1,1,1,1,10,22,32,36,41,66,97,88,56,43,47,54,56,54,46,36,25,15,6,0,1,1,1,0,9,22,33,39,44,66,94,90,59,42,46,54,59,57,50,38,26,14,7,1,1,1,1,2,9,18,25,30,40,67,92,84,55,39,42,53,61,62,55,43,29,17,9,2,1,1,1,2,10,19,29,37,47,62,78,82,72,60,59,66,73,73,66,52,36,21
"41","Commonwealth Drive Blk 1A/2A/3A (Tanglin Halt Food Centre/Commonwealth Drive Food Centre)","HUP Standard Upgrading","","","","",-1,0,-1,0,"","1A/2A/3A","","16/11/1981","Existing","","","","","","","","","","","","31341.24","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/commonwealth.jpg","I","","","15/1/2010","24055.5","Commonwealth Drive","141001","","","Blk 1A/ 2A/ 3A, Commonwealth Drive, Singapore 140001/140002/140003","B823DC77E8881910","20210330151704","",88,88,1.29973979904737,103.795507850918,0,"People typically spend 20-45 min here",0,0,12,0,0,0,0,0,0,0,0,0,0,0,41,43,40,31,23,19,27,40,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,94,73,38,30,36,39,35,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,100,81,45,35,41,46,41,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,78,71,39,32,41,49,47,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,82,63,31,26,33,39,40,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,51,46,35,30,35,44,46,36,0,0,0,0
"40","Commonwealth Crescent Market","HUP Rebuilding","","","","",-1,0,-1,0,"","31","","1965","Existing","","","","","","","3040.58","","","","","32135.05","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265167388780.jpg","I","","","18/8/2004","24332.33","Commonwealth Crescent","149644","","","31, Commonwealth Crescent, Singapore 149644","35C408FD964DAE7E","20210330151704","",87,87,1.3069481990421,103.798188950918,0,"People typically spend 20 min to 1 hr here",87,0,12,0,0,0,0,0,0,0,29,56,84,100,98,83,61,42,30,24,22,20,17,14,11,0,0,0,0,0,0,0,0,0,21,31,37,40,47,49,39,24,15,12,12,11,10,9,7,0,0,0,0,0,0,0,0,0,29,49,57,55,63,68,48,24,16,15,15,14,12,10,8,0,0,0,0,0,0,0,0,0,27,45,54,57,69,75,56,30,19,18,18,17,15,13,10,0,0,0,0,0,0,0,0,0,29,46,55,56,66,78,61,30,16,15,15,14,13,10,8,0,0,0,0,0,0,0,0,0,31,49,55,56,64,65,49,28,17,15,16,17,17,15,12,0,0,0,0,0,0,0,0,0,33,62,83,87,84,80,65,44,28,22,22,21,19,16,13,0,0
"91","Tanglin Halt Market","HUP Standard Upgrading","","","","",-1,0,-1,0,"","48A","","1964","Existing","","","","","","","2030.92","","","","","31460.22","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156211794.jpg","I","","","1/10/2003","24027.71","Tanglin Halt Road","148813","","","48A, Tanglin Halt Road, Singapore 148813","74052054BAD38DD9","20210330151704","",10,10,1.30078649904661,103.795845750918,0,"People typically spend 20-45 min here",86,0,11,0,0,0,0,0,0,25,54,83,100,99,87,71,51,32,20,18,21,25,27,26,22,0,0,0,0,0,0,0,0,22,39,46,42,42,56,65,53,29,15,13,18,23,26,25,22,0,0,0,0,0,0,0,0,33,59,71,67,64,68,66,51,30,18,17,23,31,37,37,33,0,0,0,0,0,0,0,0,34,58,68,65,67,75,74,56,33,18,16,22,29,33,33,28,0,0,0,0,0,0,0,0,30,55,66,62,60,69,73,58,34,20,18,25,32,36,35,29,0,0,0,0,0,0,0,0,28,54,67,62,57,64,69,53,29,16,16,22,30,34,35,32,0,0,0,0,0,0,0,0,30,62,89,98,90,78,68,56,41,28,22,24,30,35,37,35,0,0
"52","Holland Drive Blk 44 (Holland Drive Market and Food Centre)","HUP Standard Upgrading","","","","",-1,0,-1,0,"","44","","31/1/1999","Existing","","","","","","","","","","","","32270.57","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267849222112.jpg","I","","","31/3/2014","23487.74","Holland Drive","270044","","","Blk 44, Holland Drive, Singapore 270044","A15ED2B9E5ED3A17","20210330151704","",99,99,1.3081669990412,103.790605150918,0,"People typically spend 25 min to 1 hr here",80,0,12,0,0,0,0,0,0,20,45,72,86,85,77,65,48,30,19,13,11,10,8,5,3,0,0,0,0,0,0,0,0,15,38,53,45,38,60,78,55,23,9,6,4,3,1,0,1,0,0,0,0,0,0,0,0,21,47,63,57,56,77,84,56,24,10,6,5,3,2,0,1,0,0,0,0,0,0,0,0,25,53,69,62,62,81,86,60,28,11,6,4,3,1,0,1,0,0,0,0,0,0,0,0,27,55,75,73,64,81,100,67,26,12,9,8,6,4,2,1,0,0,0,0,0,0,0,0,25,54,72,66,63,79,83,55,25,12,9,8,6,5,3,2,0,0,0,0,0,0,0,0,24,51,76,84,80,79,75,55,30,17,13,10,8,6,3,1,0,0
"75","Newton Food Centre","HUP Standard Upgrading","","","","",-1,0,-1,0,"","500","","1971","Existing","","","","","","","3252.75","","","","","32687.91","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155777485.jpg","I","","","12/6/2006","28694.91","Clemenceau Ave North","229495","","","500, Clemenceau Ave North, Singapore 229495","A3E978497212B9F7","20210330151704","",52,52,1.31198879903839,103.837380150918,0,"People typically spend 20 min to 1.5 hr here",0,0,20,13,5,0,0,0,0,0,0,0,0,0,0,29,32,35,39,46,60,78,90,86,67,44,25,12,3,0,0,0,0,0,0,0,0,0,0,45,44,34,25,25,34,48,58,61,54,41,25,16,7,0,0,0,0,0,0,0,0,0,0,39,38,34,29,29,37,53,67,69,58,42,28,16,5,0,0,0,0,0,0,0,0,0,0,49,51,40,29,29,43,60,74,78,69,52,32,20,7,0,0,0,0,0,0,0,0,0,0,40,39,37,35,38,48,64,79,84,77,60,39,31,14,0,0,0,0,0,0,0,0,0,0,38,37,34,31,34,49,73,94,98,88,71,52,32,13,0,0,0,0,0,0,0,0,0,0,36,38,36,34,36,50,74,94,100,91,76,56
"77","Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall)","HUP Standard Upgrading","","","","",-1,0,-1,0,"","51","","17/2/1973","Existing","","","","","","","","","","","","32285.39","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153198645.jpg","I","","","12/6/2007","33844.39","Old Airport Road","390051","","","Blk 51, Old Airport Road, Singapore 390051","49DC3EB4330D8E97","20210330151704","",54,54,1.30824049904115,103.883650450918,0,"People typically spend 25 min to 1 hr here",42,0,12,0,0,0,0,0,0,5,12,26,47,72,92,100,91,72,57,56,71,84,78,52,24,7,0,0,0,0,0,0,0,4,8,15,27,43,58,65,61,47,33,29,39,53,55,40,18,4,0,0,0,0,0,0,0,2,7,17,31,49,65,72,67,53,38,33,42,59,64,48,24,7,0,0,0,0,0,0,0,5,9,17,31,51,71,80,72,54,37,34,46,60,61,46,24,7,0,0,0,0,0,0,0,7,12,18,28,47,71,84,77,55,37,36,51,67,69,54,31,12,0,0,0,0,0,0,0,6,13,25,41,59,74,78,71,57,44,43,57,75,80,64,37,15,0,0,0,0,0,0,0,7,17,32,53,76,94,99,90,73,58,57,71,88,88,67,38,15,0
"42","Dunman Food Centre","HUP Standard Upgrading","","","","",-1,0,-1,0,"","271","","1974","Existing","","","","","","","984","","","","","32413.99","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155459807.jpg","I","","","3/12/2002","35624.14","Onan Road","424768","","","271, Onan Road, Singapore 424768","5924E48967AD2F1B","20210330151704","",89,89,1.30943289904028,103.899636050918,0,"People typically spend 20 min to 1 hr here",-100,0,12,0,0,0,0,0,0,0,29,44,62,81,97,100,84,61,46,44,49,51,46,36,23,12,4,0,0,0,0,0,0,0,11,18,24,34,51,64,57,39,29,34,44,50,49,41,28,16,7,0,0,0,0,0,0,0,19,25,32,49,73,87,77,52,36,35,43,51,52,46,35,22,12,0,0,0,0,0,0,0,18,24,31,49,74,84,66,39,27,30,37,41,39,32,22,12,5,0,0,0,0,0,0,0,14,24,33,44,63,80,77,55,35,33,43,55,59,53,38,22,10,0,0,0,0,0,0,0,21,31,36,44,61,74,70,51,35,34,43,54,57,50,36,21,9,0,0,0,0,0,0,0,28,47,61,68,74,83,80,63,47,44,54,63,64,55,38,22,10
"39","Clementi West Street 2 Blk 726","HUP Standard Upgrading","","","","",-1,0,-1,0,"","726","","29/11/1980","Existing","","","","","","","","","","","","31791.21","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155262246.jpg","I","","","26/11/2009","20314.9","Clementi West Street 2","120726","","","Blk 726, Clementi West Street 2, Singapore 120726","3B5F054B978C6724","20210330151704","",86,86,1.3037846990444,103.762072050918,0,"People typically spend 20-45 min here",62,0,9,1,1,1,0,0,11,33,63,89,100,97,89,77,60,41,29,28,34,36,30,19,8,1,1,1,1,1,0,0,9,25,41,47,40,36,48,59,48,25,13,16,25,30,27,18,8,1,1,1,1,1,0,0,13,37,59,65,55,53,64,68,53,30,18,19,25,29,26,18,9,2,1,1,1,1,0,0,12,35,58,65,58,56,66,70,56,34,20,20,28,34,31,21,10,2,1,1,1,1,0,0,12,36,61,70,63,59,68,73,61,38,23,23,31,37,33,22,10,2,1,1,1,1,0,0,13,38,64,72,62,57,65,69,53,32,21,24,31,35,32,23,13,4,1,1,1,1,0,0,14,39,71,94,95,85,77,70,57,38,24,23,31,37,35,25,12,3,1
"48","Ghim Moh Road Blk 20","Opted out of HUP","","","","",-1,0,-1,0,"","20","","24/1/1977","Existing","","","","","","","","","","","","32588.87","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267848628803.jpg","I","","","","22982.14","Ghim Moh Road","270020","","","Blk 20, Ghim Moh Road, Singapore 270020","8A5C1B47E9725C03","20210330151704","",95,95,1.3111246,103.7882108,0,"0",0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"108","West Coast Drive Blk 503 (Ayer Rajah Food Centre)","HUP Standard Upgrading","","","","",-1,0,-1,0,"","503","","26/3/1979","Existing","","","","","","","","","","","","32678.15","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168322420.jpg","I","","","15/12/2002","19812.66","West Coast Drive","120503","","","Blk 503, West Coast Drive, Singapore 120503","7A279834C9D8C00D","20210330151704","",27,27,1.31186949903848,103.757588450918,0,"People typically spend 20 min to 1 hr here",52,0,12,1,0,0,0,0,0,19,35,50,61,69,74,72,64,56,55,61,68,70,62,48,32,18,7,2,0,0,0,0,0,17,35,45,40,41,62,80,65,43,40,47,54,55,49,40,28,17,8,3,0,0,0,0,0,20,38,47,44,45,65,80,66,43,38,47,56,60,57,47,34,21,10,4,0,0,0,0,0,21,41,50,46,50,81,100,76,49,47,56,64,65,59,47,34,21,11,4,0,0,0,0,0,23,45,53,45,48,74,90,71,46,43,53,62,66,61,50,35,22,11,7,0,0,0,0,0,21,43,53,48,50,69,82,69,47,40,47,58,66,66,58,45,30,17,8,0,0,0,0,0,20,39,55,63,67,73,77,70,58,54,60,70,75,72,62,47,31,17
"76","North Bridge Road Market","HUP Reconfiguration","","","","",-1,0,-1,0,"","861","","1973","Existing","","","","","","","3004.63","","","","","32010.440000000002","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155297184.jpg","I","","","17/10/2005","31402.43","North Bridge Road","198783","","","861, North Bridge Road, Singapore 198783","3B33AC4CEF5F6B1C","20210330151704","",53,53,1.30583329904291,103.861694850918,0,"People typically spend 20-45 min here",97,0,12,1,1,1,1,1,1,16,41,69,90,96,85,64,40,23,16,15,17,16,11,3,1,1,1,10,6,2,1,1,1,20,50,63,56,55,68,74,61,39,23,16,16,17,18,19,18,16,13,10,7,3,0,1,2,21,54,80,82,81,89,87,65,39,22,16,16,17,18,18,17,15,13,15,12,8,4,2,8,29,61,84,83,81,92,97,79,48,24,15,14,16,19,20,20,20,18,16,11,6,1,0,6,28,61,81,78,77,92,99,77,46,28,25,27,30,31,31,29,26,21,24,18,11,6,5,12,31,56,76,82,79,74,69,59,45,33,26,25,27,31,33,34,32,29,12,7,2,1,1,3,22,53,85,100,95,84,74,62,45,31,24,24,25,26,26,24,21,17
"53","Holland Village Market and Food Centre","HUP Rebuilding","","","","",-1,0,-1,0,"","1","","Pre-War","Existing","","","","","","","1512.38","","","","","32579.100000000002","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267415509849.jpg","I","","","12/12/2005","23720.25","Lorong Mambong","277700","","","1, Lorong Mambong, Singapore 277700","69A5ED12F17FF1A2","20210330151704","",100,100,1.31121339903897,103.792842150918,0,"People typically spend 25 min to 1 hr here",83,0,12,0,0,0,0,0,0,7,16,30,50,70,84,85,74,58,48,50,60,67,63,48,29,12,3,0,0,0,0,0,0,5,17,29,34,37,56,82,73,41,30,37,47,53,51,43,31,18,8,0,0,0,0,0,0,15,30,42,45,49,69,92,83,50,34,40,56,67,67,56,39,22,9,0,0,0,0,0,0,17,29,38,42,47,61,76,76,57,38,35,49,66,71,60,39,19,5,0,0,0,0,0,0,11,26,38,42,48,74,100,84,48,35,44,58,67,66,56,40,24,11,0,0,0,0,0,0,12,30,45,47,50,75,98,85,50,31,38,58,76,83,75,56,34,16,0,0,0,0,0,0,11,23,41,64,86,99,98,82,60,43,40,51,68,74,61,38,17,4
"38","Clementi Ave 3 Blk 448","HUP Standard Upgrading","","","","",-1,0,-1,0,"","448","","12/1/1980","Existing","","","","","","","","","","","","32839.78","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267848308255.jpg","I","","","29/10/2010","20342.32","Clementi Ave 3","120448","","","Blk 448, Clementi Ave 3, Singapore 120448","FDAC6B2723D97329","20210330151704","",85,85,1.31341259903736,103.762363050918,0,"People typically spend 30 min to 1 hr here",63,0,9,0,0,0,0,0,0,0,52,85,100,94,86,81,72,56,44,45,55,60,52,34,0,0,0,0,0,0,0,0,0,0,33,46,48,43,47,59,54,32,17,22,40,53,49,30,0,0,0,0,0,0,0,0,0,0,43,63,62,51,54,64,56,32,20,29,47,58,50,31,0,0,0,0,0,0,0,0,0,0,45,66,67,56,57,68,60,37,26,35,52,59,52,33,0,0,0,0,0,0,0,0,0,0,58,74,66,54,59,68,62,43,29,35,54,68,63,41,0,0,0,0,0,0,0,0,0,0,54,73,65,55,62,70,61,40,27,33,52,66,60,40,0,0,0,0,0,0,0,0,0,0,60,92,98,84,80,82,74,54,41,42,51,54,47,32,0,0,0
"105","Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre)","HUP Standard Upgrading","","","","",-1,0,-1,0,"","17","","28/2/1974","Existing","","","","","","","","","","","","33034.67","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262226056435.jpg","I","","","13/1/2009","32262.61","Upper Boon Keng Road","380017","","","Blk 17, Upper Boon Keng Road, Singapore 380017","5A26A7AC10A29773","20210330151704","",24,24,1.31487709903629,103.869662550918,0,"People typically spend 20-45 min here",72,0,11,0,0,0,0,0,0,0,44,71,92,100,94,81,69,59,52,47,41,35,0,0,0,0,0,0,0,0,0,0,0,0,36,49,52,51,64,77,59,35,29,28,27,25,0,0,0,0,0,0,0,0,0,0,0,0,46,59,58,57,70,79,62,40,30,28,26,24,0,0,0,0,0,0,0,0,0,0,0,0,48,67,69,67,80,92,74,49,39,38,38,35,0,0,0,0,0,0,0,0,0,0,0,0,50,65,64,66,83,92,72,47,37,37,38,35,0,0,0,0,0,0,0,0,0,0,0,0,51,66,65,65,75,78,63,42,30,29,32,33,0,0,0,0,0,0,0,0,0,0,0,0,52,78,89,89,86,83,74,60,49,44,44,43,0,0,0,0,0
"63","Kallang Estate Fresh Market and Food Centre","HUP Standard Upgrading","","","","",-1,0,-1,0,"","17","","1959","Existing","","","","","","","2629.19","","","","","32190.8","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155698415.jpg","I","","","31/10/2003","33654.86","Old Airport Road","397972","","","17, Old Airport Road, Singapore 397972","2F0C253383E628A3","20210330151704","",110,110,1.30743159904173,103.881943250918,0,"People typically spend 15-45 min here",100,0,8,0,0,0,0,0,0,34,61,86,100,94,74,50,33,25,24,26,26,24,19,13,7,0,0,0,0,0,0,0,0,25,40,51,52,47,38,28,20,15,13,12,13,12,11,9,6,0,0,0,0,0,0,0,0,41,63,75,72,61,48,36,24,16,11,11,11,10,9,6,3,0,0,0,0,0,0,0,0,34,58,74,75,65,53,41,31,22,18,17,17,17,15,11,7,0,0,0,0,0,0,0,0,40,67,81,77,63,51,39,26,16,12,14,17,19,18,14,9,0,0,0,0,0,0,0,0,36,64,78,70,54,43,35,25,16,10,10,13,16,16,13,8,0,0,0,0,0,0,0,0,37,63,86,96,89,72,53,37,26,21,20,22,22,19,14,8,0,0
"37","Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre)","HUP Standard Upgrading","","","","",-1,0,-1,0,"","353","","26/1/1978","Existing","","","","","","","","","","","","32961.71","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267847852167.jpg","I","","","25/10/2012","21046.37","Clementi Ave 2","120353","","","Blk 353, Clementi Ave 2, Singapore 120353","42176A301ABBD91A","20210330151704","",84,84,1.31430459903671,103.768620450918,0,"People typically spend 15-45 min here",0,0,10,0,0,0,0,0,0,14,36,66,91,100,91,75,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,29,36,38,36,33,31,29,26,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,30,47,56,55,51,47,44,40,35,28,21,0,0,0,0,0,0,0,0,0,0,0,0,0,36,59,73,73,66,61,57,51,43,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,36,50,57,57,54,52,48,42,33,25,18,0,0,0,0,0,0,0,0,0,0,0,0,0,34,55,63,61,59,60,58,49,37,27,20,0,0,0,0,0,0,0,0,0,0,0,0,0,41,70,88,89,80,71,66,60,52,41,32,0,0,0,0,0,0
"66","Marine Terrace Blk 50A (50A Marine Terrace)","HUP Standard Upgrading","","","","",-1,0,-1,0,"","50A","","3/3/1975","Existing","","","","","","","","","","","","32011.65","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153165514.jpg","I","","","22/12/2008","37175.19","Marine Terrace","441050","","","Blk 50A, Marine Terrace, Singapore 441050","6834B49032645709","20210330151704","",113,113,1.30577139904295,103.913539750918,0,"People typically spend 20-45 min here",89,0,8,0,0,0,0,0,0,29,59,88,100,90,71,54,41,33,28,25,22,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,23,28,29,25,20,14,12,11,11,11,9,0,0,0,0,0,0,0,0,0,0,22,47,65,65,57,49,40,30,22,18,15,13,11,9,0,0,0,0,0,0,0,0,0,0,26,50,67,68,60,55,50,38,26,20,17,16,14,11,0,0,0,0,0,0,0,0,0,0,26,52,70,69,59,51,45,34,23,17,15,13,11,9,0,0,0,0,0,0,0,0,0,0,30,60,78,72,56,51,47,36,24,18,15,14,12,9,0,0,0,0,0,0,0,0,0,0,39,69,91,96,85,68,51,37,28,23,20,18,15,12,0,0,0,0
"50","Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre)","HUP Reconfiguration","","","","",-1,0,-1,0,"","13/14","","30/7/1977","Existing","","","","","","","","","","","","33047.33","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267848993155.jpg","I","","","4/8/2010","34932.38","Haig Road","430013","","","Blk 13/14, Haig Road, Singapore 430013/430014","110148A54339D2AF","20210330151704","",97,97,1.31520149903606,103.893355750918,0,"People typically spend 25 min to 1 hr here",65,0,12,0,0,0,0,0,0,17,44,76,96,100,97,98,96,88,81,83,88,85,71,50,29,0,0,0,0,0,0,0,0,17,31,41,45,49,70,92,79,51,42,48,52,51,43,32,20,0,0,0,0,0,0,0,0,18,38,53,55,56,71,84,71,48,41,47,53,52,45,33,21,0,0,0,0,0,0,0,0,18,39,54,56,55,70,87,79,54,42,46,52,52,45,33,20,0,0,0,0,0,0,0,0,16,38,57,60,58,74,96,88,60,47,52,60,61,54,42,28,0,0,0,0,0,0,0,0,19,41,58,59,57,70,86,79,58,47,50,56,57,51,40,27,0,0,0,0,0,0,0,0,20,44,69,82,85,87,92,91,81,69,66,70,72,67,54,37,0,0
"30","Cambridge Road Blk 41A (Pek Kio Market and Food Centre)","HUP Reconfiguration","","","","",-1,0,-1,0,"","41A","","18/12/1981","Existing","","","","","","","","","","","","33159.8","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265166819326.jpg","I","","","7/3/2003","29881.53","Cambridge Road","211041","","","Blk 41A, Cambridge Road, Singapore 211041","FBD170F330300185","20210330151704","",77,77,1.3162194990353,103.848027250918,0,"People typically spend 25 min to 1 hr here",83,0,11,0,0,0,0,0,0,24,52,82,99,100,93,81,60,36,20,13,10,8,0,0,0,0,0,0,0,0,0,0,0,20,42,60,61,58,68,74,54,26,12,8,6,5,0,0,0,0,0,0,0,0,0,0,0,20,48,67,65,67,82,83,58,30,15,10,8,7,0,0,0,0,0,0,0,0,0,0,0,22,51,70,68,72,86,83,58,31,15,9,7,5,0,0,0,0,0,0,0,0,0,0,0,29,57,76,72,65,78,88,64,31,15,10,8,6,0,0,0,0,0,0,0,0,0,0,0,24,52,72,70,64,76,81,57,29,15,11,9,8,0,0,0,0,0,0,0,0,0,0,0,26,56,84,95,92,85,75,58,38,22,14,11,9,0,0,0,0,0
"87","Sims Place Blk 49 (Sims Vista Market and Food Centre)","HUP Reconfiguration","","","","",-1,0,-1,0,"","49","","20/9/1976","Existing","","","","","","","","","","","","33261.95","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153128123.jpg","I","","","15/11/2006","33130.31","Sims Place","380049","","","Blk 49, Sims Place, Singapore 380049","87604B5AB1B25468","20210330151704","",6,6,1.3170398990347,103.877170150918,0,"People typically spend 25 min to 1 hr here",69,0,12,0,0,0,0,0,0,13,35,64,82,83,77,74,64,43,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,34,48,46,39,58,87,66,28,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,40,57,47,41,65,85,66,32,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,40,58,58,53,74,100,77,35,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,45,62,56,48,68,89,71,36,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,34,58,70,70,69,69,57,36,19,0,0,0,0,0,0,0,0
